id,slug,canonical_name,category,book_count,total_mentions,reason_count,reasons,books
ent_2f842893ce90,pa-wote-jer,Pa/Wote .<^»jer.,OBJECT,1,1,5,ocr_noise_char;slash_noise;symbol_noise;wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_ea17e38b4977,ic,.^îc/»,PLACE,1,1,5,ocr_noise_char;slash_noise;wrapped_punctuation;high_punctuation_ratio;bounded_by_nonword,relation_historique_humboldt_vol3_1825
ent_fddc27f3a726,1563,1563,CONCEPT,1,2,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,polyanthea_medicinal
ent_db2be92e6a98,1510,1510,CONCEPT,1,2,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,coloquios_da_orta_1563
ent_2608faeb2b82,entity,♀ ♈,CONCEPT,1,1,4,ocr_noise_char;punctuation_only;non_latin_low_count;bounded_by_nonword,english_physician_1652
ent_0beb7f34d667,oisf-n,Oisf./«n.,CONCEPT,1,1,4,ocr_noise_char;slash_noise;wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_8fe028433cf0,c-i-f-i,C>i:f.i/<.,CONCEPT,1,1,4,slash_noise;symbol_noise;wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_a9db5d09b850,1879,1879,OTHER_CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,principles_of_psychology_james_1890
ent_6cb927d96815,1870,1870,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,coloquios_da_orta_1563
ent_9e0aefee091f,1870-principles,1870,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,principles_of_psychology_james_1890
ent_63e292706877,1867,1867,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,principles_of_psychology_james_1890
ent_2e38899e998c,1865,1865,OTHER_CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,principles_of_psychology_james_1890
ent_a3f83cfaf2d0,1852,1852,OTHER_CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,principles_of_psychology_james_1890
ent_c2056b08e820,1850,1850,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,principles_of_psychology_james_1890
ent_ebf522e3ab4c,1699,1699,PLACE,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,polyanthea_medicinal
ent_72519730d548,1651,1651,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,english_physician_1652
ent_cddfc6e38377,1642,1642,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,polyanthea_medicinal
ent_0f05caf33039,1617,1617,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,coloquios_da_orta_1563
ent_0400b2ebb852,1574,1574,OBJECT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,historia_medicinal_monardes_1574
ent_92e0b23bb2ae,1543,1543,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,coloquios_da_orta_1563
ent_7e4cb4c0a93f,1534,1534,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,coloquios_da_orta_1563
ent_e341f8a71987,1340,1340,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,coloquios_da_orta_1563
ent_476c0f028830,1252,1252,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,coloquios_da_orta_1563
ent_511f23072f01,1228,1228,CONCEPT,1,1,4,year_or_page_token;numeric_only;non_latin_low_count;high_digit_ratio,coloquios_da_orta_1563
ent_97cc80a7b78b,1822,1822,CONCEPT,1,57,3,year_or_page_token;numeric_only;high_digit_ratio,relation_historique_humboldt_vol3_1825
ent_129085f05e9d,1686,1686,CONCEPT,1,26,3,year_or_page_token;numeric_only;high_digit_ratio,polyanthea_medicinal
ent_ca8781901efe,v,V.,PLACE,1,3,3,very_short_low_count;wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_fc6a244e424c,f-relation,F.,CONCEPT,1,3,3,very_short_low_count;wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_6b25498d2133,t,t.,OBJECT,1,2,3,very_short_low_count;wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_a572778e533e,l,L.,PERSON,1,2,3,very_short_low_count;wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_90be7fc17276,d,D.,PERSON,1,2,3,very_short_low_count;wrapped_punctuation;high_punctuation_ratio,historia_medicinal_monardes_1574
ent_4a096f3d84b1,29,29.,OBJECT,1,2,3,wrapped_punctuation;numeric_only;non_latin_low_count,polyanthea_medicinal
ent_ce803c64772a,z-y-garis,Z.y»/-garis,PLANT,1,1,3,ocr_noise_char;slash_noise;high_punctuation_ratio,coloquios_da_orta_1563
ent_22c69a6e8a74,w,W.,PERSON,1,1,3,very_short_low_count;wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
