verdict,cluster_name,modern_name,category,member_name,source_lang,pattern,reason,sim_canonical,sim_modern
SPLIT,pedras,Calculus (medicine),SUBSTANCE,roches,French,mismatch,"rocks/geological formations; not kidney stones",0.17,0.11
SPLIT,agua,Water,SUBSTANCE,rcaux,French,mismatch,"currency unit (réaux); not water",0.2,0.0
SPLIT,agua,Water,SUBSTANCE,riccio,Italian,mismatch,"sugar candy; not water",0.0,0.0
SPLIT,Ciatica,Sciatica,DISEASE,Catarros,Spanish,mismatch,"catarrh (cold); not sciatica",0.25,0.12
SPLIT,madre,Dura mater,SUBSTANCE,mammas,Portuguese,mismatch,"breasts of dugongs; not dura mater",0.33,0.3
SPLIT,ar,air,SUBSTANCE,arratel,French,mismatch,"unit of weight (arratel); not air",0.29,0.29
SPLIT,ar,air,SUBSTANCE,arpens,French,mismatch,"unit of land measurement (arpent); not air",0.33,0.17
SPLIT,ar,air,SUBSTANCE,arphait,Italian,mismatch,"substance from Dead Sea (asphalt?); not air",0.29,0.29
SPLIT,ar,air,SUBSTANCE,goma arabia,Portuguese,mismatch,"gum arabic; not air",0.18,0.18
SPLIT,cor,Cordial,CONCEPT,corzimento,Portuguese,mismatch,"cooking/digestion process (cozimento); not cordial",0.3,0.4
SPLIT,Nitro,Saltpeter,SUBSTANCE,nilã,Portuguese,mismatch,"sapphire/lapis lazuli; not saltpeter",0.4,0.11
SPLIT,réis,Real,SUBSTANCE,riisias,French,mismatch,"type of fabric; not currency",0.43,0.29
SPLIT,réis,Real,SUBSTANCE,ragia,Italian,mismatch,"resin/turpentine; not currency",0.4,0.2
SPLIT,réis,Real,SUBSTANCE,rayo,Portuguese,mismatch,"condition/vapor; not currency",0.25,0.25
SPLIT,tristeza,Sadness,DISEASE,terciárias,Portuguese,mismatch,"tertian fever type; not sadness",0.3,0.1
SPLIT,mercadores,Merchants,PERSON,Commerson,French,mismatch,"Philibert Commerson; naturalist; not a merchant",0.1,0.11
SPLIT,olio,oil,SUBSTANCE,oolithes,French,mismatch,"oolitic limestone (geological); not oil",0.38,0.25
SPLIT,cap.,Chapter reference,OBJECT,caxas,French,mismatch,"boxes for sugar/treasuries; not chapter references",0.4,0.12
SPLIT,cap.,Chapter reference,OBJECT,cabane,French,mismatch,"small dwelling; not chapter reference",0.33,0.24
SPLIT,Calicut,Kozhikode,PLACE,Coraçone,Portuguese,mismatch,"different Indian region (Coromandel?); not Calicut",0.25,0.33
SPLIT,Calicut,Kozhikode,PLACE,Corientes,French,mismatch,"Cape Corrientes; not Calicut",0.33,0.22
SPLIT,Calicut,Kozhikode,PLACE,Corcovado,French,mismatch,"coastal peak (Corcovado); not Calicut",0.11,0.22
SPLIT,hortela,Mint,PLANT,orraca,Portuguese,mismatch,"distilled palm sap spirit (arrack); not mint",0.43,0.0
SPLIT,calamo aromático,Acorus Calamus,PLANT,Hyera,Portuguese,mismatch,"Hiera (purgative compound); not calamus",0.12,0.14
SPLIT,calamo aromático,Acorus Calamus,PLANT,hetre,Portuguese,mismatch,"food for the sick; not calamus",0.06,0.07
SPLIT,Capricorn,Tropic of Capricorn,CONCEPT,Escorpião,Portuguese,mismatch,"Scorpio zodiac sign; not Capricorn",0.11,0.26
SPLIT,Thymo,Thyme,PLANT,tomat,Spanish,mismatch,"tomato; not thyme",0.2,0.2
SPLIT,tabaschir,Tabasheer,SUBSTANCE,tabac torcido,French,mismatch,"rolled tobacco product; not tabasheer (bamboo sugar)",0.38,0.38
SPLIT,turibitti,Turpeth,SUBSTANCE,turritclics,French,mismatch,"turritella fossil in limestone; not turpeth",0.45,0.36
SPLIT,monçam,Monsoon,CONCEPT,Monſtris,Portuguese,mismatch,"monsters (topic of cited work); not monsoon",0.38,0.38
SPLIT,monçam,Monsoon,CONCEPT,mas,Portuguese,mismatch,"Portuguese word 'but'; not monsoon",0.33,0.29
SPLIT,caricuru,Gold,SUBSTANCE,kichuris,Portuguese,mismatch,"food for horses; not gold",0.25,0.0
SPLIT,caricuru,Gold,SUBSTANCE,Carabe,Portuguese,mismatch,"amber/ambergris remedy; not gold",0.38,0.0
SPLIT,tornillo,screw press,OBJECT,trombeta,Portuguese,mismatch,"trumpet/shell instrument; not screw press",0.12,0.18
SPLIT,ovo,Egg,ANIMAL,ovelhas,Portuguese,mismatch,"sheep (animal); not egg",0.29,0.14
SPLIT,pedra,Calculus,DISEASE,contaram,Portuguese,mismatch,"verb/noise word; not calculus",0.25,0.12
SPLIT,Eryfipela,erysipelas,DISEASE,Eſcrophulas,Spanish,mismatch,"scrofula; different disease from erysipelas",0.36,0.45
SPLIT,Panama,Panama,PLACE,Pemba,Portuguese,mismatch,"Pemba Island (Africa); not Panama",0.33,0.33
SPLIT,Quinaquina,Cinchona,PLANT,Quinces,English,mismatch,"quince fruit; not cinchona/quinine",0.4,0.25
SPLIT,ardores,Burning sensation,DISEASE,Carde,Spanish,mismatch,"disease causing twisting; not burning sensation",0.43,0.12
SPLIT,trachyte,Trachyte,SUBSTANCE,tartaro,Portuguese,mismatch,"tartar (chemical/dental deposit); not trachyte rock",0.25,0.25
SPLIT,Rhewm,Phlegm,SUBSTANCE,renum,Portuguese,mismatch,"kidney (renum); not phlegm",0.4,0.17
SPLIT,rofmaninho,Rosemary,PLANT,Espique,Portuguese,mismatch,"spikenard (Espique); not rosemary",0.1,0.12
SPLIT,rofmaninho,Rosemary,PLANT,Espes,Portuguese,mismatch,"different plant; not rosemary",0.0,0.12
SPLIT,cabrito,Kid goat,ANIMAL,carabe,Portuguese,mismatch,"amber/ambergris substance; not kid goat",0.43,0.0
SPLIT,papoulas,Poppy,PLANT,Rhewn,Portuguese,mismatch,"different plant species; not poppy",0.0,0.0
SPLIT,funcho,Fennel,PLANT,ferula,Italian,mismatch,"Ferula (giant fennel/asafoetida); different genus from fennel",0.17,0.33
SPLIT,funcho,Fennel,PLANT,ferula,Portuguese,mismatch,"Ferula (giant fennel/asafoetida); different genus from fennel",0.17,0.33
