expert_label,link_strength,source_cluster,source_modern,found_name,found_normalized,source_book,matched_clusters,reasoning
true_synonym,1.0,"Spodio","Spodium","pompholige","pompholige",ricettario_fiorentino_1597,"","The Ricettario explicitly equates Spodio with pompholige ('ò la pompholige'). Both refer to metallic oxides collected fr"
true_synonym,1.0,"Spodio","Spodium","tuzia de gli Speziali","tuzia de gli Speziali",ricettario_fiorentino_1597,"","Tuzia (tutty/tutia) is the Italian apothecary term for zinc oxide; explicitly listed as equivalent to Spodio and pomphol"
contested_identity,0.7,"Spodio","Spodium","Tabaxir","Tabaxir",ricettario_fiorentino_1597,"tabaschir; Tabaco","The Ricettario equates Tabaxir with Spodio ('il vero Spodio detto la Tabaxir'); but this identification was actively deb"
contested_identity,0.7,"tabaschir","Tabasheer","pompholige","Pompholix",ricettario_fiorentino_1597,"pompholix","Found alongside tabaschir/Tabaxir in the Ricettario. The conflation of pompholige (zinc oxide) with tabaxir (bamboo suga"
contested_identity,0.7,"tabaschir","Tabasheer","Spodio","Spodium",ricettario_fiorentino_1597,"Spodio","Spodio linked to tabaschir cluster via the Ricettario's explicit equation. Whether spodium = tabasheer was a live questi"
true_synonym,1.0,"bórax","Borax","crísocola","Chrysocolla",coloquios_da_orta_1563,"Crisocola","Orta identifies bórax with crísocola (chrysocolla). In early modern mineralogy these terms overlapped: both referred to "
cross_linguistic,0.9,"calamo aromático","Acorus Calamus","cassab","cassia",coloquios_da_orta_1563,"cássia","Orta records 'cassab' as the Arabic/local name for calamo aromático (sweet flag). This is a cross-linguistic naming link"
true_synonym,1.0,"Índia","India","Squinanto","Squinanth",ricettario_fiorentino_1597,"","The Ricettario glosses squinanto as 'fiore di giunco odorato' (flower of fragrant rush); linking it to the calamo aromát"
cross_linguistic,0.9,"Ciatica","Sciatica","Hip-gout","hip gout",english_physician_1652,"Gout","Culpeper's English vernacular 'Hip-gout' for Latin/medical 'Sciatica'. This is a translation synonym: the learned Latina"
contested_identity,0.7,"lepra","Leprosy","Elephantiacos","Elephantiasis",polyanthea_medicinal,"Elephantia","Semedo uses 'Elephantiacos' for lepers. In early modern medicine; elephantiasis and leprosy were sometimes conflated; so"
cross_linguistic,0.9,"fluxos","Fluxes","Plague in the Guts","dysentery",english_physician_1652,"dysenteria","Culpeper's vivid English folk term for dysentery (bloody flux). This is the kind of vernacular–medical equivalence that "
