term_a,lang_a,source_a,term_b,lang_b,source_b,link_type,modern_id,notes
Oswaldus Crollius,Latin,Basilica Chymica 1609,Oswald Croll,German,Basilica Chymica 1609,orthographic_variant,Oswald_Croll,German iatrochemist c.1563-1609
Crollius,Latin,Semedo 1741,Osvaldo Crollo,Italian,17th c translations,orthographic_variant,Oswald_Croll,common citation form
Oswald Croll,German,Basilica Chymica 1609,Oswaldo Crolio,Spanish,Spanish translations,orthographic_variant,Oswald_Croll,Paracelsian physician
Joannes Baptista van Helmont,Latin,Ortus Medicinae 1648,Jan Baptist van Helmont,Flemish,Ortus Medicinae 1648,orthographic_variant,Jan_Baptist_van_Helmont,Flemish chemist 1580-1644
Van Helmont,Latin,Semedo 1741,Jean Baptiste van Helmont,French,17th c French sources,orthographic_variant,Jan_Baptist_van_Helmont,coined term gas
Helmontius,Latin,academic citations,Johann Baptist von Helmont,German,German translations,orthographic_variant,Jan_Baptist_van_Helmont,iatrochemist and physiologist
Nicolaus Lemery,Latin,Cours de Chymie 1675,Nicolas Lemery,French,Cours de Chymie 1675,orthographic_variant,Nicolas_Lemery,French chemist 1645-1715
Lemery,French,Semedo 1741,Nicola Lemery,Italian,Italian translations,orthographic_variant,Nicolas_Lemery,major chemistry textbook author
Nicolas Lemery,French,Cours de Chymie 1675,Nikolaus Lemery,German,German translations,orthographic_variant,Nicolas_Lemery,apothecary and physician
Joannes Schroederus,Latin,Pharmacopoeia 1641,Johann Schröder,German,Pharmacopoeia 1641,orthographic_variant,Johann_Schroeder,German pharmacist 1600-1664
Schroeder,German,Semedo 1741,Jean Schroder,French,French translations,orthographic_variant,Johann_Schroeder,influential pharmacopoeia
Johann Schröder,German,Pharmacopoeia 1641,Giovanni Schrodero,Italian,Italian translations,orthographic_variant,Johann_Schroeder,Frankfurt physician
Rogerus Baco,Latin,medieval manuscripts,Roger Bacon,English,Opus Majus 1267,orthographic_variant,Roger_Bacon,English philosopher c.1219-1292
Bacon,English,Semedo 1741,Ruggero Bacone,Italian,Italian sources,orthographic_variant,Roger_Bacon,Franciscan friar and alchemist
Roger Bacon,English,Opus Majus 1267,Rogerio Bacon,Portuguese,Portuguese translations,orthographic_variant,Roger_Bacon,doctor mirabilis
