term_a,term_b,lang_a,lang_b,link_type,modern_id,sim_base,sim_finetuned,improvement
Oswaldus Crollius,Oswald Croll,Latin,German,orthographic_variant,Oswald_Croll,0.7373447418212891,0.9262111186981201,0.18886637687683105
Crollius,Osvaldo Crollo,Latin,Italian,orthographic_variant,Oswald_Croll,0.38013899326324463,0.9368355870246887,0.5566965937614441
Oswald Croll,Oswaldo Crolio,German,Spanish,orthographic_variant,Oswald_Croll,0.5865718126296997,0.9459271430969238,0.3593553304672241
Joannes Baptista van Helmont,Jan Baptist van Helmont,Latin,Flemish,orthographic_variant,Jan_Baptist_van_Helmont,0.932603120803833,0.9771525263786316,0.044549405574798584
Van Helmont,Jean Baptiste van Helmont,Latin,French,orthographic_variant,Jan_Baptist_van_Helmont,0.8239808082580566,0.8235729932785034,-0.00040781497955322266
Helmontius,Johann Baptist von Helmont,Latin,German,orthographic_variant,Jan_Baptist_van_Helmont,0.48854851722717285,0.7538458108901978,0.2652972936630249
Nicolaus Lemery,Nicolas Lemery,Latin,French,orthographic_variant,Nicolas_Lemery,0.8688464760780334,0.9796181917190552,0.11077171564102173
Lemery,Nicola Lemery,French,Italian,orthographic_variant,Nicolas_Lemery,0.7538484334945679,0.9308136701583862,0.17696523666381836
Nicolas Lemery,Nikolaus Lemery,French,German,orthographic_variant,Nicolas_Lemery,0.8853394389152527,0.970429003238678,0.08508956432342529
Joannes Schroederus,Johann Schröder,Latin,German,orthographic_variant,Johann_Schroeder,0.6241987943649292,0.9641571044921875,0.3399583101272583
Schroeder,Jean Schroder,German,French,orthographic_variant,Johann_Schroeder,0.6952715516090393,0.9542262554168701,0.2589547038078308
Johann Schröder,Giovanni Schrodero,German,Italian,orthographic_variant,Johann_Schroeder,0.6860970258712769,0.9823732972145081,0.2962762713432312
Rogerus Baco,Roger Bacon,Latin,English,orthographic_variant,Roger_Bacon,0.7321799993515015,0.9737234711647034,0.2415434718132019
Bacon,Ruggero Bacone,English,Italian,orthographic_variant,Roger_Bacon,0.6583367586135864,0.9627334475517273,0.30439668893814087
Roger Bacon,Rogerio Bacon,English,Portuguese,orthographic_variant,Roger_Bacon,0.8658719062805176,0.9914275407791138,0.1255556344985962
Aureolus Philippus Theophrastus Bombastus von Hohenheim,Paracelsus,Latin,Latin,same_referent,Paracelsus,0.36928337812423706,0.4060273766517639,0.036743998527526855
